subject,family,arm,config,phase_idx,warmup,iters,wall_micros,per_run_micros,rss_plan_kb,rss_final_kb
example_08_pinn_heat,nonsynthetic,b,selector_rec,0,true,1,2334197,2334197.000,6260,9448
example_08_pinn_heat,nonsynthetic,a,baseline,1,false,1,5383606,5383606.000,6276,9576
example_08_pinn_heat,nonsynthetic,b,selector_rec,1,false,1,3827157,3827157.000,6264,9492
example_08_pinn_heat,nonsynthetic,a,baseline,2,false,1,4512635,4512635.000,6268,9436
example_08_pinn_heat,nonsynthetic,b,selector_rec,2,false,1,3289906,3289906.000,6248,9416
example_08_pinn_heat,nonsynthetic,a,baseline,3,false,1,5077456,5077456.000,6244,9428
example_08_pinn_heat,nonsynthetic,b,selector_rec,3,false,1,3527388,3527388.000,6268,9500
example_08_pinn_heat,nonsynthetic,a,baseline,4,false,1,3575619,3575619.000,6260,9452
example_08_pinn_heat,nonsynthetic,b,selector_rec,4,false,1,5634113,5634113.000,6260,9504
example_08_pinn_heat,nonsynthetic,a,baseline,5,false,1,4081544,4081544.000,6260,9508
example_08_pinn_heat,nonsynthetic,b,selector_rec,5,false,1,3367437,3367437.000,6260,9488
