workload,phase,arm,ns_per_call
matmul tiled 256x256x256,2,fallback (A/A),4157573.015873016
matmul tiled 256x256x256,2,kernel,7686113.7566137565
matmul tiled 256x256x256,3,fallback,5843517.98941799
matmul tiled 256x256x256,3,fallback (A/A),5026850.264550265
matmul tiled 256x256x256,3,kernel,6729370.899470899
matmul tiled 256x256x256,4,fallback,4302977.777777778
matmul tiled 256x256x256,4,fallback (A/A),4581379.365079365
matmul tiled 256x256x256,4,kernel,7241198.941798942
relu call path: bare ffi | kernel::relu_raw,0,fallback,14203.541507996953
relu call path: bare ffi | kernel::relu_raw,0,fallback (A/A),14170.492193450114
relu call path: bare ffi | kernel::relu_raw,0,kernel,14635.817307692309
relu call path: bare ffi | kernel::relu_raw,1,fallback,16024.897658035034
relu call path: bare ffi | kernel::relu_raw,1,fallback (A/A),14801.739813404418
relu call path: bare ffi | kernel::relu_raw,1,kernel,17910.3650990099
relu call path: bare ffi | kernel::relu_raw,2,fallback,19280.074257425742
relu call path: bare ffi | kernel::relu_raw,2,fallback (A/A),17283.62052551409
relu call path: bare ffi | kernel::relu_raw,2,kernel,15162.79750571211
relu call path: bare ffi | kernel::relu_raw,3,fallback,14158.16355674029
relu call path: bare ffi | kernel::relu_raw,3,fallback (A/A),13901.263804265041
relu call path: bare ffi | kernel::relu_raw,3,kernel,15643.945163747145
relu call path: bare ffi | kernel::relu_raw,4,fallback,16003.715251332826
relu call path: bare ffi | kernel::relu_raw,4,fallback (A/A),15127.272943640517
relu call path: bare ffi | kernel::relu_raw,4,kernel,13994.366431835491
relu loop: Rust body | bare ffi,0,fallback,11364.824876388862
relu loop: Rust body | bare ffi,0,fallback (A/A),12592.267488860898
relu loop: Rust body | bare ffi,0,kernel,15755.310108853002
relu loop: Rust body | bare ffi,1,fallback,12136.30501400613
relu loop: Rust body | bare ffi,1,fallback (A/A),11477.509353086049
relu loop: Rust body | bare ffi,1,kernel,17483.93525220432
relu loop: Rust body | bare ffi,2,fallback,15006.463499464195
relu loop: Rust body | bare ffi,2,fallback (A/A),14539.42208268316
relu loop: Rust body | bare ffi,2,kernel,15996.003083228366
relu loop: Rust body | bare ffi,3,fallback,12064.324791788085
relu loop: Rust body | bare ffi,3,fallback (A/A),11954.558101934537
relu loop: Rust body | bare ffi,3,kernel,14105.942734673159
relu loop: Rust body | bare ffi,4,fallback,11243.061796168524
relu loop: Rust body | bare ffi,4,fallback (A/A),11144.753811735069
relu loop: Rust body | bare ffi,4,kernel,14374.382884322536
mse_loss_grad,0,fallback,127870.16566894055
mse_loss_grad,0,fallback (A/A),124424.79465404426
mse_loss_grad,0,kernel,96746.26200751775
mse_loss_grad,1,fallback,165290.7837950717
mse_loss_grad,1,fallback (A/A),170891.8696923291
mse_loss_grad,1,kernel,101600.25059167479
mse_loss_grad,2,fallback,137380.70444104134
mse_loss_grad,2,fallback (A/A),133004.566337185
mse_loss_grad,2,kernel,97450.61951830711
mse_loss_grad,3,fallback,135462.13281358764
mse_loss_grad,3,fallback (A/A),146714.71530001392
mse_loss_grad,3,kernel,110290.44967283864
mse_loss_grad,4,fallback,152798.20409299736
mse_loss_grad,4,fallback (A/A),150139.87191981066
mse_loss_grad,4,kernel,99544.14590004177
mse+grad via GradGraph (status quo),0,fallback,1855021.3861386138
mse+grad via GradGraph (status quo),0,fallback (A/A),1584161.9801980199
mse+grad via GradGraph (status quo),1,fallback,1455862.3762376239
mse+grad via GradGraph (status quo),1,fallback (A/A),1366916.0396039605
mse+grad via GradGraph (status quo),2,fallback,1516543.3663366337
mse+grad via GradGraph (status quo),2,fallback (A/A),1340780.5940594058
mse+grad via GradGraph (status quo),3,fallback,1425941.188118812
mse+grad via GradGraph (status quo),3,fallback (A/A),1360493.2673267326
mse+grad via GradGraph (status quo),4,fallback,1430922.7722772278
mse+grad via GradGraph (status quo),4,fallback (A/A),1400435.8415841584
