episode,loss,n_moves,terminal_reward,temp,adam_step,repetition_draw
119,0.5685119913370202,80,0,0.8033333333333333,120,0
25,0.5824324956114285,80,0,1.1166666666666667,26,0
26,0.5992061761284341,80,0,1.1133333333333333,27,0
27,0.5688305433141394,80,0,1.1099999999999999,28,0
28,0.5867563054877208,80,0,1.1066666666666667,29,0
29,0.6228108918583931,26,-0.974,1.1033333333333333,30,0
30,0.43195635862164405,80,0,1.1,31,0
31,0.5701435889259979,80,0,1.0966666666666667,32,0
32,0.26425729019899213,80,0,1.0933333333333333,33,0
33,0.4943601324745044,80,0,1.0899999999999999,34,0
34,0.5604261022713813,80,0,1.0866666666666667,35,0
35,0.4553132770932301,80,0,1.0833333333333333,36,0
36,0.383397365655908,80,0,1.08,37,0
37,0.7256548414403318,80,0,1.0766666666666667,38,0
38,0.6951346634610317,14,-0.986,1.0733333333333333,39,0
39,0.5085088461567817,80,0,1.07,40,0
40,0.49246582194434013,80,0,1.0666666666666667,41,0
41,0.5918451072773866,80,0,1.0633333333333332,42,0
42,0.5246908565190497,80,0,1.06,43,0
43,0.4258184188380842,80,0,1.0566666666666666,44,0
44,0.5339047713968947,80,0,1.0533333333333332,45,0
45,0.3314721121306729,80,0,1.05,46,0
46,0.5674372451368754,80,0,1.0466666666666666,47,0
47,0.5178365073555853,80,0,1.0433333333333334,48,0
48,0.669067870380361,80,0,1.04,49,0
49,0.5336577577452383,80,0,1.0366666666666666,50,0
50,0.4381629091441137,80,0,1.0333333333333332,51,0
51,0.53811159551965,80,0,1.03,52,0
52,0.4853945753648093,80,0,1.0266666666666666,53,0
53,0.44364975191655415,77,0.923,1.0233333333333334,54,0
54,0.431816767681797,80,0,1.02,55,0
55,0.495502667126212,28,-0.972,1.0166666666666666,56,0
56,0.5509643225814317,80,0,1.0133333333333334,57,0
57,0.48783244570773726,80,0,1.01,58,0
58,0.41856956237783793,80,0,1.0066666666666666,59,0
59,0.3774635339590199,80,0,1.0033333333333334,60,0
60,0.638710213376915,80,0,1,61,0
61,0.5324515106318962,80,0,0.9966666666666667,62,0
62,0.5615548921970739,54,-0.946,0.9933333333333333,63,0
63,0.3953188197935058,80,0,0.99,64,0
64,0.5137141532102212,80,0,0.9866666666666667,65,0
65,0.45446749428531724,80,0,0.9833333333333334,66,0
66,0.6566866311401602,80,0,0.98,67,0
67,0.6226069993733478,80,0,0.9766666666666667,68,0
68,0.530793723603402,80,0,0.9733333333333334,69,0
69,0.5915004382093224,80,0,0.97,70,0
70,0.5315427903622311,80,0,0.9666666666666667,71,0
71,0.4539964712944861,80,0,0.9633333333333334,72,0
72,0.6923357229446332,80,0,0.96,73,0
73,0.525357055899688,80,0,0.9566666666666667,74,0
74,0.48054658470095224,80,0,0.9533333333333334,75,0
75,0.6586544852599944,80,0,0.95,76,0
76,0.556430748013201,80,0,0.9466666666666668,77,0
77,0.6397852732923692,80,0,0.9433333333333334,78,0
78,0.5270541273202579,80,0,0.94,79,0
79,0.5473674564109949,80,0,0.9366666666666668,80,0
80,0.6689014761503059,80,0,0.9333333333333333,81,0
81,0.5248466188074138,80,0,0.9299999999999999,82,0
82,0.46849829422743067,80,0,0.9266666666666667,83,0
83,0.5779043778702722,80,0,0.9233333333333333,84,0
84,0.5041433217292677,80,0,0.92,85,0
